experiment,node,seq,latency_ms,type,trial
E1,157,0,5.0,edge,t1
E1,157,2,2.0,edge,t1
E1,157,3,4.0,edge,t1
E1,157,4,2.0,edge,t1
E1,157,5,2.0,edge,t1
E1,157,6,2.0,edge,t1
E1,157,7,2.0,edge,t1
E1,157,8,2.0,edge,t1
E1,157,9,1.0,edge,t1
E1,157,10,1.0,edge,t1
E1,157,11,2.0,edge,t1
E1,157,12,2.0,edge,t1
E1,157,13,201.0,edge,t1
E1,157,14,2.0,edge,t1
E1,157,15,2.0,edge,t1
E1,157,16,2.0,edge,t1
E1,157,17,2.0,edge,t1
E1,157,18,2.0,edge,t1
E1,157,19,7.0,edge,t1
E1,157,20,1.0,edge,t1
E1,157,21,3.0,edge,t1
E1,157,22,2.0,edge,t1
E1,157,23,3.0,edge,t1
E1,157,24,2.0,edge,t1
E1,157,26,194.0,edge,t1
E1,157,27,2.0,edge,t1
E1,157,28,1.0,edge,t1
E1,157,29,12.0,edge,t1
E1,157,30,2.0,edge,t1
E1,157,31,2.0,edge,t1
E1,157,32,1.0,edge,t1
E1,157,33,2.0,edge,t1
E1,157,34,6.0,edge,t1
E1,157,35,2.0,edge,t1
E1,157,36,2.0,edge,t1
E1,157,37,2.0,edge,t1
E1,157,38,2.0,edge,t1
E1,157,39,1.0,edge,t1
E1,157,40,2.0,edge,t1
E1,157,41,1.0,edge,t1
E1,157,42,5.0,edge,t1
E1,157,43,183.0,edge,t1
E1,157,44,2.0,edge,t1
E1,157,45,3.0,edge,t1
E1,157,46,4.0,edge,t1
E1,157,47,5.0,edge,t1
E1,157,48,2.0,edge,t1
E1,157,49,1.0,edge,t1
E1,157,50,2.0,edge,t1
E1,157,51,1.0,edge,t1
E1,157,52,3.0,edge,t1
E1,157,53,2.0,edge,t1
E1,157,54,2.0,edge,t1
E1,157,55,2.0,edge,t1
E1,157,56,7.0,edge,t1
E1,157,57,2.0,edge,t1
E1,157,58,2.0,edge,t1
E1,157,59,11.0,edge,t1
E1,157,60,1.0,edge,t1
E1,157,61,3.0,edge,t1
E1,157,62,2.0,edge,t1
E1,157,63,2.0,edge,t1
E1,157,64,2.0,edge,t1
E1,157,65,3.0,edge,t1
E1,157,66,2.0,edge,t1
E1,157,67,4.0,edge,t1
E1,157,68,1.0,edge,t1
E1,157,69,2.0,edge,t1
E1,157,70,2.0,edge,t1
E1,157,71,2.0,edge,t1
E1,157,72,3.0,edge,t1
E1,157,73,2.0,edge,t1
E1,157,74,3.0,edge,t1
E1,157,75,4.0,edge,t1
E1,157,76,2.0,edge,t1
E1,157,77,4.0,edge,t1
E1,157,78,205.0,edge,t1
E1,157,79,3.0,edge,t1
E1,157,81,3.0,edge,t1
E1,157,82,201.0,edge,t1
E1,157,83,2.0,edge,t1
E1,157,84,2.0,edge,t1
E1,157,85,2.0,edge,t1
E1,157,86,3.0,edge,t1
E1,157,87,2.0,edge,t1
E1,157,88,4.0,edge,t1
E1,157,90,3.0,edge,t1
E1,157,91,2.0,edge,t1
E1,157,92,2.0,edge,t1
E1,157,94,1.0,edge,t1
E1,157,95,2.0,edge,t1
E1,157,96,2.0,edge,t1
E1,157,97,1.0,edge,t1
E1,157,98,2.0,edge,t1
E1,157,99,1.0,edge,t1
E1,157,100,2.0,edge,t1
E1,157,101,1.0,edge,t1
E1,157,102,2.0,edge,t1
E1,157,103,1.0,edge,t1
E1,157,104,2.0,edge,t1
E1,157,105,3.0,edge,t1
E1,157,106,2.0,edge,t1
E1,157,107,1.0,edge,t1
E1,157,108,1.0,edge,t1
E1,157,109,2.0,edge,t1
E1,157,110,1.0,edge,t1
E1,157,111,2.0,edge,t1
E1,157,112,1.0,edge,t1
E1,157,113,4.0,edge,t1
E1,157,114,199.0,edge,t1
E1,157,115,4.0,edge,t1
E1,157,116,1.0,edge,t1
E1,82,0,2.0,edge,t1
E1,82,1,2.0,edge,t1
E1,82,2,2.0,edge,t1
E1,82,3,2.0,edge,t1
E1,82,4,2.0,edge,t1
E1,82,5,189.0,edge,t1
E1,82,6,1.0,edge,t1
E1,82,7,1.0,edge,t1
E1,82,8,1.0,edge,t1
E1,82,9,2.0,edge,t1
E1,82,10,2.0,edge,t1
E1,82,11,3.0,edge,t1
E1,82,12,2.0,edge,t1
E1,82,13,5.0,edge,t1
E1,82,14,2.0,edge,t1
E1,82,15,201.0,edge,t1
E1,82,16,2.0,edge,t1
E1,82,17,200.0,edge,t1
E1,82,18,1.0,edge,t1
E1,82,19,1.0,edge,t1
E1,82,20,2.0,edge,t1
E1,82,21,2.0,edge,t1
E1,82,22,2.0,edge,t1
E1,82,23,1.0,edge,t1
E1,82,24,1.0,edge,t1
E1,82,25,204.0,edge,t1
E1,82,26,205.0,edge,t1
E1,82,27,3.0,edge,t1
E1,82,28,4.0,edge,t1
E1,82,29,2.0,edge,t1
E1,82,30,1.0,edge,t1
E1,82,31,1.0,edge,t1
E1,82,32,2.0,edge,t1
E1,82,33,1.0,edge,t1
E1,82,34,3.0,edge,t1
E1,82,35,3.0,edge,t1
E1,82,36,2.0,edge,t1
E1,82,37,1.0,edge,t1
E1,82,38,1.0,edge,t1
E1,82,39,1.0,edge,t1
E1,82,40,2.0,edge,t1
E1,82,41,1.0,edge,t1
E1,82,42,205.0,edge,t1
E1,82,43,2.0,edge,t1
E1,82,44,3.0,edge,t1
E1,82,45,4.0,edge,t1
E1,82,46,5.0,edge,t1
E1,82,47,1.0,edge,t1
E1,82,48,4.0,edge,t1
E1,82,49,1.0,edge,t1
E1,82,50,3.0,edge,t1
E1,82,51,4.0,edge,t1
E1,82,52,2.0,edge,t1
E1,82,53,1.0,edge,t1
E1,82,54,2.0,edge,t1
E1,82,55,1.0,edge,t1
E1,82,56,2.0,edge,t1
E1,82,57,3.0,edge,t1
E1,82,58,201.0,edge,t1
E1,82,59,2.0,edge,t1
E1,82,60,1.0,edge,t1
E1,82,61,3.0,edge,t1
E1,82,62,2.0,edge,t1
E1,82,63,1.0,edge,t1
E1,82,64,1.0,edge,t1
E1,82,65,2.0,edge,t1
E1,82,66,2.0,edge,t1
E1,82,67,3.0,edge,t1
E1,82,68,2.0,edge,t1
E1,82,69,2.0,edge,t1
E1,82,70,3.0,edge,t1
E1,82,71,2.0,edge,t1
E1,82,72,2.0,edge,t1
E1,82,73,3.0,edge,t1
E1,82,75,2.0,edge,t1
E1,82,76,1.0,edge,t1
E1,82,77,3.0,edge,t1
E1,82,78,3.0,edge,t1
E1,82,79,4.0,edge,t1
E1,82,80,2.0,edge,t1
E1,82,81,3.0,edge,t1
E1,82,82,1.0,edge,t1
E1,82,83,4.0,edge,t1
E1,82,84,3.0,edge,t1
E1,82,85,2.0,edge,t1
E1,82,86,2.0,edge,t1
E1,82,87,1.0,edge,t1
E1,82,88,2.0,edge,t1
E1,82,89,202.0,edge,t1
E1,82,90,2.0,edge,t1
E1,82,91,1.0,edge,t1
E1,82,92,2.0,edge,t1
E1,82,93,1.0,edge,t1
E1,82,94,10.0,edge,t1
E1,82,95,1.0,edge,t1
E1,82,96,2.0,edge,t1
E1,82,97,6.0,edge,t1
E1,82,98,2.0,edge,t1
E1,82,99,1.0,edge,t1
E1,82,100,2.0,edge,t1
E1,82,101,2.0,edge,t1
E1,82,102,2.0,edge,t1
E1,82,103,1.0,edge,t1
E1,82,104,1.0,edge,t1
E1,82,105,2.0,edge,t1
E1,82,106,1.0,edge,t1
E1,82,107,2.0,edge,t1
E1,82,108,1.0,edge,t1
E1,82,109,2.0,edge,t1
E1,82,110,3.0,edge,t1
E1,82,111,2.0,edge,t1
E1,82,112,2.0,edge,t1
E1,82,113,1.0,edge,t1
E1,82,115,1.0,edge,t1
E1,82,116,1.0,edge,t1
E1,82,117,2.0,edge,t1
E1,82,118,8.0,edge,t1
E1,82,119,2.0,edge,t1
E1,157,0,2.0,edge,t2
E1,157,1,2.0,edge,t2
E1,157,2,2.0,edge,t2
E1,157,3,2.0,edge,t2
E1,157,4,2.0,edge,t2
E1,157,5,1.0,edge,t2
E1,157,6,195.0,edge,t2
E1,157,7,2.0,edge,t2
E1,157,8,2.0,edge,t2
E1,157,9,2.0,edge,t2
E1,157,10,200.0,edge,t2
E1,157,11,1.0,edge,t2
E1,157,12,3.0,edge,t2
E1,157,13,2.0,edge,t2
E1,157,14,1.0,edge,t2
E1,157,15,200.0,edge,t2
E1,157,16,2.0,edge,t2
E1,157,17,20.0,edge,t2
E1,157,18,3.0,edge,t2
E1,157,19,1.0,edge,t2
E1,157,20,2.0,edge,t2
E1,157,21,1.0,edge,t2
E1,157,22,3.0,edge,t2
E1,157,23,2.0,edge,t2
E1,157,24,8.0,edge,t2
E1,157,25,2.0,edge,t2
E1,157,26,199.0,edge,t2
E1,157,27,4.0,edge,t2
E1,157,28,2.0,edge,t2
E1,157,29,1.0,edge,t2
E1,157,30,2.0,edge,t2
E1,157,31,2.0,edge,t2
E1,157,32,1.0,edge,t2
E1,157,33,2.0,edge,t2
E1,157,34,2.0,edge,t2
E1,157,35,150.0,edge,t2
E1,157,36,2.0,edge,t2
E1,157,37,7.0,edge,t2
E1,157,38,3.0,edge,t2
E1,157,39,3.0,edge,t2
E1,157,40,1.0,edge,t2
E1,157,41,2.0,edge,t2
E1,157,42,201.0,edge,t2
E1,157,43,2.0,edge,t2
E1,157,44,3.0,edge,t2
E1,157,45,3.0,edge,t2
E1,157,46,2.0,edge,t2
E1,157,47,12.0,edge,t2
E1,157,48,2.0,edge,t2
E1,157,49,7.0,edge,t2
E1,157,50,200.0,edge,t2
E1,157,51,2.0,edge,t2
E1,157,52,1.0,edge,t2
E1,157,53,1.0,edge,t2
E1,157,54,3.0,edge,t2
E1,157,55,2.0,edge,t2
E1,157,56,2.0,edge,t2
E1,157,57,204.0,edge,t2
E1,157,58,195.0,edge,t2
E1,157,59,2.0,edge,t2
E1,157,60,1.0,edge,t2
E1,157,61,2.0,edge,t2
E1,157,62,2.0,edge,t2
E1,157,63,2.0,edge,t2
E1,157,64,3.0,edge,t2
E1,157,65,2.0,edge,t2
E1,157,66,2.0,edge,t2
E1,157,67,4.0,edge,t2
E1,157,68,6.0,edge,t2
E1,157,69,1.0,edge,t2
E1,157,70,9.0,edge,t2
E1,157,71,191.0,edge,t2
E1,157,72,2.0,edge,t2
E1,157,73,7.0,edge,t2
E1,157,74,3.0,edge,t2
E1,157,75,2.0,edge,t2
E1,157,76,2.0,edge,t2
E1,157,77,1.0,edge,t2
E1,157,78,3.0,edge,t2
E1,157,79,3.0,edge,t2
E1,157,80,201.0,edge,t2
E1,157,81,2.0,edge,t2
E1,157,82,2.0,edge,t2
E1,157,83,2.0,edge,t2
E1,157,84,2.0,edge,t2
E1,157,85,1.0,edge,t2
E1,157,86,1.0,edge,t2
E1,157,87,2.0,edge,t2
E1,157,88,2.0,edge,t2
E1,157,89,2.0,edge,t2
E1,157,90,2.0,edge,t2
E1,157,91,3.0,edge,t2
E1,157,92,202.0,edge,t2
E1,157,93,5.0,edge,t2
E1,157,94,1.0,edge,t2
E1,157,95,2.0,edge,t2
E1,157,96,2.0,edge,t2
E1,157,97,2.0,edge,t2
E1,157,98,2.0,edge,t2
E1,157,99,3.0,edge,t2
E1,82,0,194.0,edge,t2
E1,82,1,2.0,edge,t2
E1,82,2,2.0,edge,t2
